	NT1_2	NT1_1	NT21_1	NT21_2	sh1_1	sh1_2	sh2_1	sh2_2
ENSG00000223972.5_2	3	1	0	0	0	1	1	0
ENSG00000227232.5_2	398	373	284	317	400	366	303	308
ENSG00000243485.5_5	0	0	0	0	0	0	1	0
ENSG00000237613.2_2	0	0	0	0	0	0	0	0
ENSG00000268020.3_4	0	0	0	0	0	0	0	0
ENSG00000240361.2_3	0	0	0	0	0	0	0	0
ENSG00000186092.6_4	0	0	0	0	2	0	0	0
ENSG00000238009.6_7	4	2	1	1	5	3	1	2
ENSG00000239945.1_6	0	0	0	0	0	0	0	0
ENSG00000233750.3_4	0	0	0	0	0	0	0	1
ENSG00000237683.5	3	5	1	0	3	0	0	2
ENSG00000268903.1_5	0	0	0	0	0	0	0	1
ENSG00000269981.1_5	0	0	0	0	0	0	0	0
ENSG00000239906.1_5	0	0	0	0	1	0	0	0
ENSG00000241860.6_5	15	4	1	6	11	6	1	5
ENSG00000222623.1	0	0	0	0	0	0	0	0
ENSG00000241599.1_6	0	0	0	0	0	0	0	0
ENSG00000228463.4	29	33	32	21	38	30	23	22
ENSG00000250575.1	0	4	2	0	0	1	4	5
ENSG00000233653.3	0	0	0	0	0	0	0	0
ENSG00000224813.2	0	0	0	0	0	1	0	0
ENSG00000235249.1	0	0	0	0	0	0	0	0
ENSG00000269732.1	0	0	0	0	0	0	0	0
ENSG00000256186.1	0	0	0	0	0	0	0	0
ENSG00000236601.1	0	0	0	0	0	0	0	0
ENSG00000236743.1	0	1	0	0	0	0	0	0
ENSG00000236679.2	0	0	0	0	0	0	0	0
ENSG00000230021.10_5	78	50	97	54	74	58	68	42
ENSG00000235146.2_5	0	0	1	0	0	0	0	0
ENSG00000225972.1_4	50	35	130	85	72	98	57	66
ENSG00000225630.1_4	95	43	226	145	210	183	108	104
ENSG00000237973.1_4	2973	2085	3696	2347	3250	3144	2184	2098
ENSG00000229344.1_4	437	223	611	278	312	297	282	181
ENSG00000240409.1_4	1	0	12	3	1	8	1	0
ENSG00000248527.1_4	168	94	520	243	142	165	94	79
ENSG00000198744.5_4	352	217	723	451	317	359	215	201
ENSG00000268663.1_4	0	0	0	0	0	0	0	0
ENSG00000284662.1_2	0	0	0	0	0	0	0	0
ENSG00000229376.3_4	0	0	0	0	0	1	0	0
ENSG00000228327.3_6	439	344	208	194	293	128	255	326
ENSG00000235373.1	13	7	3	14	16	3	6	7
ENSG00000223181.1	0	0	0	0	0	0	0	0
ENSG00000229905.1_5	0	0	0	0	0	0	0	0
ENSG00000237491.9_6	42	42	24	32	45	16	24	33
ENSG00000285268.1_2	0	0	0	0	0	0	0	0
ENSG00000230092.7_5	3	7	3	1	3	7	1	1
ENSG00000177757.2_2	1	0	2	1	1	0	0	4
ENSG00000228794.8_5	307	299	294	376	331	253	263	331
ENSG00000225880.5_4	96	90	69	113	33	38	42	45
ENSG00000230368.2_2	6	0	1	0	3	3	0	2
ENSG00000234711.1_2	0	0	0	0	0	0	0	0
ENSG00000283040.1_5	0	0	0	0	0	0	0	0
ENSG00000272438.1_6	92	55	40	37	65	36	55	73
